word,condition,surppress,rate,participant
弁当 [弁当],cue,think,4,28
弁当 [みりん],tar,think,5,28
弁当 [ランチ],sub,think,1,28
幼児 [幼児],cue,think,3,28
幼児 [ピアノ],tar,think,5,28
幼児 [おしゃぶり],sub,think,1,28
新年 [新年],cue,think,2,28
新年 [ニュース],tar,think,5,28
新年 [モチつき],sub,think,1,28
電車 [電車],cue,think,3,28
電車 [カップル],tar,think,5,28
電車 [レール],sub,think,1,28
油絵 [油絵],cue,think,4,28
油絵 [ローマ],tar,think,5,28
油絵 [デッサン],sub,think,1,28
雨雲 [雨雲],cue,think,3,28
雨雲 [トラック],tar,think,4,28
雨雲 [あられ],sub,think,1,28
公園 [公園],cue,think,4,28
公園 [マナー],tar,think,4,28
公園 [シーソー],sub,think,1,28
王様 [王様],cue,think,4,28
王様 [カジノ],tar,think,3,28
王様 [マント],sub,think,1,28
財布 [財布],cue,think,3,28
財布 [ワニ],tar,think,3,28
財布 [カード],sub,think,1,28
浴衣 [浴衣],cue,think,2,28
浴衣 [おんぶ],tar,think,4,28
浴衣 [うちわ],sub,think,1,28
映画 [映画],cue,think,4,28
映画 [ムード],tar,think,4,28
映画 [フィルム],sub,think,1,28
和室 [和室],cue,think,1,28
和室 [ろうそく],tar,think,5,28
和室 [ふすま],sub,think,3,28
坊主 [坊主],cue,nothink,3,28
坊主 [ほくろ],tar,nothink,1,28
坊主 [バリカン],sub,nothink,4,28
手品 [手品],cue,nothink,1,28
手品 [テーブル],tar,nothink,2,28
手品 [トリック],sub,nothink,5,28
地球 [地球],cue,nothink,3,28
地球 [メートル],tar,nothink,2,28
地球 [マグマ],sub,nothink,5,28
餃子 [餃子],cue,nothink,1,28
餃子 [レンジ],tar,nothink,2,28
餃子 [にんにく],sub,nothink,5,28
学校 [学校],cue,nothink,2,28
学校 [あじさい],tar,nothink,1,28
学校 [チャイム],sub,nothink,5,28
郵便 [郵便],cue,nothink,2,28
郵便 [はさみ],tar,nothink,1,28
郵便 [ポスト],sub,nothink,5,28
神社 [神社],cue,nothink,3,28
神社 [しゃもじ],tar,nothink,1,28
神社 [おみくじ],sub,nothink,5,28
缶詰 [缶詰],cue,nothink,2,28
缶詰 [バナナ],tar,nothink,4,28
缶詰 [リサイクル],sub,nothink,4,28
銭湯 [銭湯],cue,nothink,4,28
銭湯 [バケツ],tar,nothink,2,28
銭湯 [サウナ],sub,nothink,4,28
競走 [競走],cue,nothink,3,28
競走 [うさぎ],tar,nothink,1,28
競走 [ゼッケン],sub,nothink,5,28
真夏 [真夏],cue,nothink,4,28
真夏 [うどん],tar,nothink,1,28
真夏 [プール],sub,nothink,5,28
野宿 [野宿],cue,nothink,2,28
野宿 [カラス],tar,nothink,2,28
野宿 [テント],sub,nothink,5,28
