word,condition,surppress,rate,participant
弁当 [弁当],cue,nothink,5,9
弁当 [みりん],tar,nothink,2,9
弁当 [ランチ],sub,nothink,2,9
幼児 [幼児],cue,nothink,5,9
幼児 [ピアノ],tar,nothink,2,9
幼児 [おしゃぶり],sub,nothink,2,9
新年 [新年],cue,nothink,5,9
新年 [ニュース],tar,nothink,2,9
新年 [モチつき],sub,nothink,2,9
電車 [電車],cue,nothink,5,9
電車 [カップル],tar,nothink,2,9
電車 [レール],sub,nothink,2,9
油絵 [油絵],cue,nothink,5,9
油絵 [ローマ],tar,nothink,3,9
油絵 [デッサン],sub,nothink,2,9
雨雲 [雨雲],cue,nothink,5,9
雨雲 [トラック],tar,nothink,2,9
雨雲 [あられ],sub,nothink,2,9
公園 [公園],cue,nothink,5,9
公園 [マナー],tar,nothink,3,9
公園 [シーソー],sub,nothink,2,9
王様 [王様],cue,nothink,5,9
王様 [カジノ],tar,nothink,3,9
王様 [マント],sub,nothink,2,9
財布 [財布],cue,nothink,5,9
財布 [ワニ],tar,nothink,2,9
財布 [カード],sub,nothink,2,9
浴衣 [浴衣],cue,nothink,4,9
浴衣 [おんぶ],tar,nothink,2,9
浴衣 [うちわ],sub,nothink,2,9
映画 [映画],cue,nothink,5,9
映画 [ムード],tar,nothink,2,9
映画 [フィルム],sub,nothink,2,9
和室 [和室],cue,think,5,9
和室 [ろうそく],tar,think,2,9
和室 [ふすま],sub,think,2,9
坊主 [坊主],cue,think,5,9
坊主 [ほくろ],tar,think,4,9
坊主 [バリカン],sub,think,1,9
手品 [手品],cue,think,3,9
手品 [テーブル],tar,think,4,9
手品 [トリック],sub,think,1,9
地球 [地球],cue,think,5,9
地球 [メートル],tar,think,4,9
地球 [マグマ],sub,think,1,9
餃子 [餃子],cue,think,5,9
餃子 [レンジ],tar,think,4,9
餃子 [にんにく],sub,think,1,9
学校 [学校],cue,think,4,9
学校 [あじさい],tar,think,3,9
学校 [チャイム],sub,think,1,9
郵便 [郵便],cue,think,5,9
郵便 [はさみ],tar,think,3,9
郵便 [ポスト],sub,think,1,9
神社 [神社],cue,think,3,9
神社 [しゃもじ],tar,think,4,9
神社 [おみくじ],sub,think,1,9
缶詰 [缶詰],cue,think,5,9
缶詰 [バナナ],tar,think,4,9
缶詰 [リサイクル],sub,think,1,9
銭湯 [銭湯],cue,think,5,9
銭湯 [バケツ],tar,think,4,9
銭湯 [サウナ],sub,think,1,9
競走 [競走],cue,think,5,9
競走 [うさぎ],tar,think,4,9
競走 [ゼッケン],sub,think,1,9
真夏 [真夏],cue,think,5,9
真夏 [うどん],tar,think,5,9
真夏 [プール],sub,think,1,9
野宿 [野宿],cue,think,4,9
野宿 [カラス],tar,think,5,9
野宿 [テント],sub,think,1,9
